url,currency,price,beadroom,bathroom,furnished,area,location,amenities,price_type,breadcrumb,description,images
https://www.dubizzle.com.bh/en/ad/for-sale-2-villas-in-diyar-al-muharraq-ID105470272.html,BHD,"230,000",5,5,No,315,"Muharraq, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Maids Room']",Negotiable,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Muharraq Governorate>Villas for Sale in Muharraq,"For sale 2 villas in Diyar AL-muharraq  Each villa contains : Sitting room  Dining room  Indoor and outdoor kitchen with washrooms  Elevator  2 car garage   Ground floor , central air conditioning  (The first floor ) 3bedroom with bathroom a with achanging room  (The second floor ) Guest room with bathroom  Master room  Laundry room  Store","['https://images.dubizzle.com.bh/thumbnails/5361419-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361420-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361421-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361422-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361423-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361424-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361425-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361426-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361427-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361428-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361429-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361430-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361431-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361432-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361433-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361434-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361435-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361436-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361437-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5361438-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/apartment-for-sale-in-marassi-al-bahrain-ID105465225.html,BHD,"80,000",2,2,Yes,89,"Muharraq, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Maids Room']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Muharraq,Apartment for sale in Marassi Al Bahrain The area is 89 square meters.  Consists of: Two Pools Parking,"['https://images.dubizzle.com.bh/thumbnails/5339639-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339640-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339641-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339642-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339643-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339644-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339645-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339646-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339647-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339648-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339649-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/for-sale-villa-tobli-ID105465193.html,BHD,"130,000",5,5,No,200,"Tubli, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Maids Room']",Negotiable,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Capital Governorate>Villas for Sale in Tubli,"FOR SALE VILLA TOBLI  land area 200 sqm  building area 290sqm  the floor is grounded monsters ,A hall with bathroom *master room with bathroom   indoor A outdoor with kitchen  two garage car first floor 3 bedroom master  second floor 1 bedroom master  Laundry","['https://images.dubizzle.com.bh/thumbnails/5339483-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339484-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339485-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339486-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339487-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339488-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339489-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339490-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339491-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339492-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5339493-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D8%A8%D9%8A%D8%AA-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%AD%D9%85%D8%AF-ID105461613.html,BHD,"300,000",5,4,No,456,"Madinat Hamad, Northern Governorate",['Balcony'],Negotiable,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Northern Governorate>Villas for Sale in Madinat Hamad,"بيت للبيع مدينة حمد  مساحة الأرض 456,9  مساحة البناء  شارع أو شارعين / شارعين امام وخلف  عدد الغرف  خمسة  عدد الحمامات  4  عدد الصالات  2 عدد الطوابق 2    عمر البيت 30 سنة  كراجين الي ٣ سييار  مطبخ واحد  حديقة امام وخلف البيت مخازن 3","['https://images.dubizzle.com.bh/thumbnails/5323519-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323520-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323521-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323522-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/best-deal-2-bedroom-with-private-beach-ID105459882.html,BHD,"58,000",2,2,Yes,84.4,"Amwaj Island, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Pets Allowed']",Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Amwaj Island,"Modern 2-Bedroom Apartment for Sale in Amwaj Island – Resort-Style Living  Discover luxurious island living in this beautifully renovated 2-bedroom apartment located in the heart of Amwaj Islands. Nestled within a prestigious resort-style community, this home offers an elegant blend of comfort, style, and convenience.   *Property Features:* - Spacious and modern 2-bedroom layout   - Fully renovated with high-end finishes   - Open-plan living and dining area   - Contemporary kitchen with built-in appliances   - Private balcony with community or sea views    *Community Amenities:* - Exclusive private beach access   - Resort-style swimming pools and jacuzzi   - Fully equipped gym and wellness facilities   - 24/7 security    Whether you're looking for a serene home by the sea or a smart investment, this property is an ideal choice.","['https://images.dubizzle.com.bh/thumbnails/5316031-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316030-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5378372-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5352832-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5352831-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5352830-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316034-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316037-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316035-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316040-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316039-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316038-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316036-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316041-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5316032-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/rare-opportunity-garage-for-sale-in-salmabad-ID105477341.html,BHD,"45,000",,,,648,"Salmabad, Northern Governorate",[],Negotiable,Home>Properties>Properties for Sale>Garage for Sale>Garage for Sale in Northern Governorate>Garage for Sale in Salmabad,"Automobile Garage Property for Sale – Prime Investment Opportunity  Location: In the middle of salmabad. PRIME LOCATION  Asking Price: [ On Request ]  We are pleased to offer a fully operational automobile garage property for sale – an ideal investment for auto industry. The garage bulding is 25years old standing and have a good reputation in the market. An ideal location, walking distance spare parts and other automobile connected shops. Garage is fully equipped and ready to start anytime. 648 Sqm  Property Features:  Total 03 Shutter Shops – Ready to rent or operate 01 Shutter Unit with Double Floor Space – Ideal for workshop or expansion Polishing Area – Dedicated space for car detailing services  07 labour room  02 Ready Offices – Fully set up, suitable for admin or client meetings  02 Ready Paint both  Ready made signboard  Garage Capacity: Inside: 10 Car Parking/Working Bays Outside: 12 Car Parking Spaces  Junk Yard Space: Vast open area suitable for scrap storage, spare parts, or future development.   Current Monthly Income: BD 800BD from existing tenants and operations – with room to increase via full utilization of all facilities.   Highlights: Excellent business location.  Ideal for automobile workshops, detailing centers, or rental services  High ROI potential: Scope to expand or restructure operations This property combines both commercial rental income and operational space, making it a smart buy for investors or auto professionals.   Contact: Mohammed Whatsapp or call","['https://images.dubizzle.com.bh/thumbnails/5392912-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392913-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392914-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392915-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392916-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392917-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392918-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392919-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392920-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392921-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392922-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392923-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392924-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392925-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392926-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392927-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392928-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392929-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392930-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392931-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/3-bedroom-semi-furnisged-flat-for-sale-in-hidd-area-97339660213-ID105436081.html,BHD,"55,000",3,3,No,128,"Al Hidd, Muharraq Governorate",[],Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Al Hidd,3  Bedroom semi furnisged flat for sale in HIDD area,"['https://images.dubizzle.com.bh/thumbnails/5218203-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218204-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218205-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218206-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218207-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218208-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218209-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218210-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218211-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218212-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218213-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/semi-furnished3-bedroom-flat-4-sale-in-hidd-129-sqmt-call36660213-ID105436071.html,BHD,"55,000",3,3,No,129,"Al Hidd, Muharraq Governorate",[],Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Al Hidd,3  Bedroom semi furnisged flat for sale in HIDD area,"['https://images.dubizzle.com.bh/thumbnails/5218135-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218136-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218137-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218138-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218139-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218140-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218141-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218142-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218143-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218144-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5218145-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/land-for-sale-ID105477282.html,BHD,"150,000",,,,328.1,"Riffa, Southern Governorate",[],,Home>Properties>Properties for Sale>Land for Sale>Land for Sale in Southern Governorate>Land for Sale in Riffa,Land for Sale 328.1 Square Meters Behind the Coffee Shops on the main road,['https://images.dubizzle.com.bh/thumbnails/5392624-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/mob-33180618-building-4-sale-muharraq-in-a-very-good-location-ID104604630.html,BHD,"150,000",,,,334,"Muharraq, Muharraq Governorate",[],,Home>Properties>Properties for Sale>Buildings for Sale>Buildings for Sale in Muharraq Governorate>Buildings for Sale in Muharraq,"Building 4 sale/ Muharraq in a very good location  Building for sale in Muharraq, near Main markets and other services with BD 800 net income monthly, BD 9600 yearly, and area building of 334 Sqm and total building for whole of 900 Sqm.   Consists of 4 ( Four Flats )  - Three flats of Four Bedrooms.  - One flat of Two bedrooms.    3 car parking and  (3 separate Meters + entrance meter ) )   *** ( 3 Flats ) Four BHK apartment consisting of: • Four bedrooms • Three bathrooms • closed Kitchen • Living room  *** ( 1 Flat ) Two BHK apartment consisting of: • Two bedrooms • Two bathrooms • closed Kitchen • Living room   Area: 334 SQM total build up area 900 Sqm Selling price: 150,000 BD  for Viewing kindly call Ahmed Ali","['https://images.dubizzle.com.bh/thumbnails/4620969-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620970-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620971-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620972-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620973-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620974-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620975-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620976-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4620977-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/east-riffa-ID105477279.html,BHD,"40,000",2,2,No,100,"Riffa, Southern Governorate",[],Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Southern Governorate>Apartments for Sale in Riffa,"2 Bed Rooms 1 Small Room Big Hall 2 Bathrooms (1 Bath room + 1 Attached Bathroom with Masterbedroom) Lift Near Lulu, Real Taste and Garden","['https://images.dubizzle.com.bh/thumbnails/5392599-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392600-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392601-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392602-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5392603-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%8A%D8%AA-%D9%82%D8%AF%D9%8A%D9%85-%D8%A7%D9%84%D8%B1%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A-ID105477115.html,BHD,55,,,,163.4,"Riffa, Southern Governorate",[],,Home>Properties>Properties for Sale>Land for Sale>Land for Sale in Southern Governorate>Land for Sale in Riffa,.  للبيع بيت قديم الرفاع الشرقي  بالقرب من مدرسة ابن رشد  المساحة 163.4 متر٢  التصنيف RHB بناء على الحد سكني استثماري مؤجر بمدخول شهري 200 دينار   السعر المطلوب 55 الف دينار  .  للتواصل :,['https://images.dubizzle.com.bh/thumbnails/5391899-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/240-m2-brand-new-free-hold-5-bed-hidd-ID102457086.html,BHD,"81,000",5,4,,240,"Al Hidd, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Maids Room']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Al Hidd,Brand new apartment New Hidd Pool 2 Balcony Gym Freee hold,"['https://images.dubizzle.com.bh/thumbnails/114165-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114166-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114167-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114168-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114169-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114170-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/114171-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/free-hold-brand-new-3-br-in-janabiya-ID102073696.html,BHD,"59,000",3,3,,140,"Janabiyah, Northern Governorate","['Central A/C & heating', 'Covered Parking', 'Maids Room', 'Pets Allowed', 'Security']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Northern Governorate>Apartments for Sale in Janabiyah,Free Hold Brand new Security Parking Janabiya,"['https://images.dubizzle.com.bh/thumbnails/66887-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66889-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66892-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66894-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66896-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66899-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66913-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/66914-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/free-hold-2-bed-in-new-sanabis-near-seef-ID101763613.html,BHD,"52,000",2,2,,110,"Seef, Capital Governorate","['Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Pets Allowed', 'Security']",,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Capital Governorate>Villas for Sale in Seef,Sea view Gym Free hold Security 1 Parking  New Sanabis,"['https://images.dubizzle.com.bh/thumbnails/3558470-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3558471-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3558472-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3558473-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3558474-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3558475-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/exclusive-price-2br-flat-in-amwaj-perfect-location-from-owner-directly-ID105207644.html,BHD,"46,000",2,2,Yes,98.9,"Amwaj Island, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Covered Parking', 'Security', 'Shared Gym']",Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Amwaj Island,Lift Swimming pool 15 mins to airport Next to malls and dragon city Perfect location  Call,"['https://images.dubizzle.com.bh/thumbnails/4250210-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4250207-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4250205-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4250206-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4250208-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4250209-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D8%B4%D9%82%D8%A9-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9-%D9%81%D9%8A-%D9%85%D8%B1%D8%A7%D8%B3%D9%8A-%D8%AC%D8%A7%D9%84%D9%8A%D8%B1%D9%8A%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID105476817.html,BHD,"77,000",1,1,Yes,59.52,"Amwaj Island, Muharraq Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Maids Room']",Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Amwaj Island,شقة مفروشة  فيها كل شي ونظفة  بركة وجم وصالة ومطبخ وبارك خاص وتبعد دقيقتين مشي عن المجمع,"['https://images.dubizzle.com.bh/thumbnails/5390670-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5390671-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5390672-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5390673-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/expat-can-buy-2-bedrooms-flat-at-juffair-call33276605-ID104651935.html,BHD,"52,000",2,2,Yes,106,"Juffair, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Security']",Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Juffair,"fully furnished  expats can buy Call 3,3,2,7,6,6,0,5 Close to Oasis Mall","['https://images.dubizzle.com.bh/thumbnails/5036556-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5036557-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5036558-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/urgent-for-sale-2-bedrooms-flat-at-abraj-al-lulu-for-sale33276605-ID104651934.html,BHD,"53,500",2,2,Yes,122,"Sanabis, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Pets Allowed']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Sanabis,"Expats can buy  Semi closed kitchen  City view Call 3,3,2,7,6,6,0,5",['https://images.dubizzle.com.bh/thumbnails/3779441-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A%D9%84%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D9%83%D8%B1-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A-ID105476727.html,BHD,"185,000",5,7,No,473,"Sanad, Capital Governorate","['Balcony', 'Covered Parking', 'Maids Room', 'Pets Allowed', 'Private Garden']",Negotiable,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Capital Governorate>Villas for Sale in Sanad,للبيع فيلا مباشرة من المالك، في العكر الغربي على شارعين و من طابقين، مساحة الأرض ٤٧٣م ، ٥ غرف نوم، عدد ٢ صالات كبيرة، مجلس،  ٧ حمامات، مطبخين، كراج سيارتين، عدد ٢ حدائق خارجية واحدة منهم مخصصة لبركة سباحة بحمام (لايوجد بركة) غرفة لاندري.   العكر الغربي,['https://images.dubizzle.com.bh/thumbnails/5390319-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/house-or-land-for-sale-ID104005470.html,BHD,"170,000",,,,640,"Isa Town, Southern Governorate",[],Negotiable,Home>Properties>Properties for Sale>Land for Sale>Land for Sale in Southern Governorate>Land for Sale in Isa Town,للبيع من المالك مباشر  بيت في مدينة عيس مدخل بوابة مدينة عيس الرئسي المساحه 640 متر البيت طابقين سعر القدم 25.5 دينار تلفون المالك,"['https://images.dubizzle.com.bh/thumbnails/3787296-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3787297-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5128183-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/for-sale-2-commercial-shatters-mezzanine-bd-7500-x-2-%D9%82%D9%81%D9%84%D9%8A-ID105301803.html,BHD,"7,500",,,No,200,"Madinat Hamad, Northern Governorate",['Air Conditioning'],Negotiable,Home>Properties>Properties for Sale>Commercial for Sale>Commercial for Sale in Northern Governorate>Commercial for Sale in Madinat Hamad,"for sale (قفلي) 2 commercial shutters shops Ground & Mezzanine on Corner in Hamala near opposite Jasmi’s Restaurant suitable for all commercial business.  BD. 7,500 Each shatter x 2  محل تجاري كبير للبيع قفلي في موقع استراتيجي ومميز يتكون من شترين وميزانين وعلى زاوية  في منطقة الهملة مقابل مطعم Jasmi’s  يصلح لجميع  الأغراض التجارية.  7,500 دينار لكل شتر .  WhatsApp:","['https://images.dubizzle.com.bh/thumbnails/4947724-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4947725-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4947726-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4947727-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/muharraq-halat-bu-maher-area-ID105476199.html,BHD,"98,000",6,4,No,130,"Muharraq, Muharraq Governorate",[],Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Muharraq,- Muharraq (Halat Bu Maher Area).  - Commercial / Residential Building.  - All services are very near.  - Four commercial shutters for renting.,"['https://images.dubizzle.com.bh/thumbnails/5387878-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5387879-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5387880-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5387881-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D8%A3%D8%B1%D8%B6-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%88%D9%82%D8%B1%D9%8A%D8%A8%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D8%B3%D9%8A%D8%AA%D9%8A%D9%86-ID105476163.html,BHD,34,,,,437,"Busaytin, Muharraq Governorate",[],,Home>Properties>Properties for Sale>Land for Sale>Land for Sale in Muharraq Governorate>Land for Sale in Busaytin,‏ أرض للبيع في البسيتين قريبة من المطار وفي موقع هادئ ومميز   ٣٤ دينار للفوت,"['https://images.dubizzle.com.bh/thumbnails/5387732-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5387733-800x600.jpeg']"
