web-scraper-order,web-scraper-start-url,link,link-href,pages,pages-href,product_name,product_price,brand
"1747136339-1","https://www.marksandspencer.com/l/men/mens-shirts","Offer£49M&S SARTORIALRegular Fit Luxury Pure Cotton Textured Shirt","https://www.marksandspencer.com/regular-fit-luxury-cotton-textured-shirt/p/clp60707790?color=LIGHTBLUE#intid=pid_pg2pip48g4r12c4%7Cprodflag_Offer","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Regular Fit Luxury Pure Cotton Textured Shirt","£49","M&S SARTORIAL"
"1747136346-2","https://www.marksandspencer.com/l/men/mens-shirts","Offer£49M&S SARTORIALSlim Fit Luxury Cotton Double Cuff Twill Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631004?color=BLUE#intid=pid_pg2pip48g4r12c3%7Cprodflag_Offer","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Slim Fit Luxury Cotton Double Cuff Twill Shirt","£49","M&S SARTORIAL"
"1747136353-3","https://www.marksandspencer.com/l/men/mens-shirts","£35AutographFloral Cuban Collar Shirt","https://www.marksandspencer.com/floral-cuban-collar-shirt/p/clp60720442#intid=pid_pg2pip48g4r12c2","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Floral Cuban Collar Shirt","£35","Autograph"
"1747136362-4","https://www.marksandspencer.com/l/men/mens-shirts","£40M&S CollectionCotton Linen Blend Puppytooth Shirt","https://www.marksandspencer.com/cotton-linen-blend-puppytooth-shirt/p/clp60707740?color=LIGHTAIRFORCE#intid=pid_pg2pip48g4r12c1","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Cotton Linen Blend Puppytooth Shirt","£40","M&S Collection"
"1747136366-5","https://www.marksandspencer.com/l/men/mens-shirts","Offer£49M&S SARTORIALRegular Fit Luxury Cotton Double Cuff Twill Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631018?color=PALEPINK#intid=pid_pg2pip48g4r11c4%7Cprodflag_Offer","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Regular Fit Luxury Cotton Double Cuff Twill Shirt","£49","M&S SARTORIAL"
"1747136373-6","https://www.marksandspencer.com/l/men/mens-shirts","£35AutographGeometric Print Shirt","https://www.marksandspencer.com/geometric-print-shirt/p/clp60707757?color=PINKMIX#intid=pid_pg2pip48g4r11c3","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Geometric Print Shirt","£35","Autograph"
"1747136378-7","https://www.marksandspencer.com/l/men/mens-shirts","£49AutographPure Cotton Heavyweight Overshirt","https://www.marksandspencer.com/pure-cotton-heavyweight-overshirt/p/clp60714909?color=BLACK#intid=pid_pg2pip48g4r11c2","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Pure Cotton Heavyweight Overshirt","£49","Autograph"
"1747136384-8","https://www.marksandspencer.com/l/men/mens-shirts","£45M&S CollectionRegular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=BLACK#intid=pid_pg2pip48g4r11c1","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Regular Fit Pure Linen Shirt","£45","M&S Collection"
"1747136389-9","https://www.marksandspencer.com/l/men/mens-shirts","£40M&S CollectionCotton Linen Blend Puppytooth Shirt","https://www.marksandspencer.com/cotton-linen-blend-puppytooth-shirt/p/clp60707740?color=GREEN#intid=pid_pg2pip48g4r10c4","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Cotton Linen Blend Puppytooth Shirt","£40","M&S Collection"
"1747136396-10","https://www.marksandspencer.com/l/men/mens-shirts","£40M&S CollectionSlim Fit Ultimate Non Iron Cotton Shirt","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-shirt/p/clp60707308?color=LIGHTBLUE#intid=pid_pg2pip48g4r10c3","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Slim Fit Ultimate Non Iron Cotton Shirt","£40","M&S Collection"
"1747136402-11","https://www.marksandspencer.com/l/men/mens-shirts","£40M&S CollectionRegular Fit Ultimate Non Iron Textured Shirt","https://www.marksandspencer.com/regular-fit-non-iron-pure-cotton-shirt/p/clp60707067?color=NAVYMIX#intid=pid_pg2pip48g4r10c2","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Regular Fit Ultimate Non Iron Textured Shirt","£40","M&S Collection"
"1747136412-12","https://www.marksandspencer.com/l/men/mens-shirts","£45M&S CollectionRegular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=DARKGREY#intid=pid_pg2pip48g4r10c1","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Regular Fit Pure Linen Shirt","£45","M&S Collection"
"1747136422-13","https://www.marksandspencer.com/l/men/mens-shirts","£40M&S CollectionSmart Two Pocket Overshirt with Stretch","https://www.marksandspencer.com/cotton-rich-two-pocket-overshirt/p/clp60716213?color=MUSHROOM#intid=pid_pg2pip48g4r9c4","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Smart Two Pocket Overshirt with Stretch","£40","M&S Collection"
"1747136433-14","https://www.marksandspencer.com/l/men/mens-shirts","£32M&S CollectionCotton Rich Textured Check Shirt","https://www.marksandspencer.com/cotton-rich-textured-check-shirt/p/clp60720864?color=NAVY#intid=pid_pg2pip48g4r9c3","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Cotton Rich Textured Check Shirt","£32","M&S Collection"
"1747136442-15","https://www.marksandspencer.com/l/men/mens-shirts","£35AutographPure Cotton Textured Cuban Collar Shirt","https://www.marksandspencer.com/pure-cotton-textured-cuban-collar-shirt/p/clp60720428?color=GREENMIX#intid=pid_pg2pip48g4r9c2","","https://www.marksandspencer.com/l/men/mens-shirts?page=2","Pure Cotton Textured Cuban Collar Shirt","£35","Autograph"
